DateTime,Users,In-Game
7/18/2018 0:00,14411005,4299283
7/19/2018 0:00,14365854,4246805
7/20/2018 0:00,14691925,4499015
7/21/2018 0:00,15289839,4816224
7/22/2018 0:00,15506011,4872199
7/23/2018 0:00,14483116,4303722
7/24/2018 0:00,14482867,4361882
7/25/2018 0:00,14071190,4267291
7/26/2018 0:00,14092209,4303836
7/27/2018 0:00,14260709,4415843
7/28/2018 0:00,14783885,4656935
7/29/2018 0:00,15137636,4727089
7/30/2018 0:00,14381308,4372498
7/31/2018 0:00,14267029,4285711
8/1/2018 0:00,14057633,4217689
8/2/2018 0:00,13821118,4196026
8/3/2018 0:00,14217001,4385471
8/4/2018 0:00,14808985,4694352
8/5/2018 0:00,15096134,4747516
8/6/2018 0:00,14175305,4260760
8/7/2018 0:00,14101179,4196689
8/8/2018 0:00,14159114,4084732
8/9/2018 0:00,14217302,4197855
8/10/2018 0:00,14171188,3951624
8/11/2018 0:00,14989418,4713925
8/12/2018 0:00,15337756,4417847
8/13/2018 0:00,14331523,4384901
8/14/2018 0:00,14494444,3921993
8/15/2018 0:00,14241923,4132304
8/16/2018 0:00,13940623,2492645
8/17/2018 0:00,14201872,2538642
8/18/2018 0:00,15204816,4868667
8/19/2018 0:00,15570495,4969582
8/20/2018 0:00,14425611,4397637
8/21/2018 0:00,14221999,4305177
8/22/2018 0:00,14267750,4333482
8/23/2018 0:00,14574315,4460766
8/24/2018 0:00,14820409,4591836
8/25/2018 0:00,15761345,5032798
8/26/2018 0:00,16032027,5052835
8/27/2018 0:00,14841720,4455319
8/28/2018 0:00,14577030,4336919
8/29/2018 0:00,14393649,4319991
8/30/2018 0:00,14362543,4330011
8/31/2018 0:00,14919521,4556609
9/1/2018 0:00,15910942,4955392
9/2/2018 0:00,16052286,4981565
9/3/2018 0:00,14688709,4334206
9/4/2018 0:00,14038497,4087402
9/5/2018 0:00,14108452,4032899
9/6/2018 0:00,13910572,3990675
9/7/2018 0:00,14585975,4403925
9/8/2018 0:00,15976993,4868375
9/9/2018 0:00,16228637,4982757
9/10/2018 0:00,14119554,4042157
9/11/2018 0:00,14044830,4056168
9/12/2018 0:00,13923861,3995100
9/13/2018 0:00,13693904,4112656
9/14/2018 0:00,14517859,4482330
9/15/2018 0:00,16037434,5061274
9/16/2018 0:00,16265804,5046695
9/17/2018 0:00,13871686,4020247
9/18/2018 0:00,13734396,3867790
9/19/2018 0:00,13792322,3900257
9/20/2018 0:00,13856292,3924103
9/21/2018 0:00,14620418,4426940
9/22/2018 0:00,16087125,5012567
9/23/2018 0:00,16802771,5273072
9/24/2018 0:00,14117694,4056707
9/25/2018 0:00,14195275,4053716
9/26/2018 0:00,14060035,4004939
9/27/2018 0:00,14045976,3922092
9/28/2018 0:00,14327239,4149425
9/29/2018 0:00,15858699,4791747
9/30/2018 0:00,16634910,5059601
10/1/2018 0:00,14266298,3989471
10/2/2018 0:00,14215333,3996603
10/3/2018 0:00,14450448,4094340
10/4/2018 0:00,14127739,3949285
10/5/2018 0:00,14694088,4287663
10/6/2018 0:00,16112244,4971809
10/7/2018 0:00,16304864,4916657
10/8/2018 0:00,14303589,4020504
10/9/2018 0:00,13982023,3936650
10/10/2018 0:00,13581920,3763216
10/11/2018 0:00,13419538,3744483
10/12/2018 0:00,14256907,4239603
